,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB
2019-05,0.17154876276657555,0.13809636406848239,0.12570054943791747,0.10193264255153409,0.08743821838182674,0.07778622233412472,0.06980513803997374,0.06816984268332617,0.058908042686809915,0.05319086575096631,0.04742335129846306
2019-06,0.1724219695567565,0.13476376138855903,0.1224682115524822,0.10591537690651592,0.09928875546586961,0.08091021366575828,0.06115025489653844,0.07394585902560083,0.060944713672768956,0.04743255373225955,0.040758330136890564
2019-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2019-08,0.16109595176517025,0.15589708416729,0.11708974284062264,0.10151610371882314,0.0886935271826039,0.06439135947367393,0.06799487371702796,0.07006600881559616,0.061942120870307316,0.0615376972934268,0.04977553015545813
2019-09,0.16548062431346053,0.15418434368163658,0.11275093205665455,0.10451246626650773,0.09988550806457117,0.06123741223017079,0.06579936707781421,0.07540393161856637,0.0671843873018051,0.05269060766224244,0.04087041972657063
2019-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2019-11,0.16349256674998192,0.14300384325005447,0.12169891074580806,0.1030357457454287,0.08763148910976572,0.07700474184633714,0.07238895621868498,0.07095549603272397,0.06144422214677672,0.051945126496686846,0.04739890165775159
2019-12,0.1655834483472181,0.1416223210787824,0.11791825986632415,0.10177815975797268,0.08415214226631071,0.07989948737151528,0.07924991645450286,0.06689919878029663,0.05927113334421888,0.05345003512545227,0.05017589760740597
2020-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2020-02,0.16712841142488288,0.14491936910112027,0.12622988521077141,0.10246764046164601,0.08798973643200914,0.06768942832984433,0.06405690080600689,0.07502054685300794,0.0603514492589721,0.06381513170246646,0.04033150041927269
2020-03,0.1694211728764124,0.1438916887429686,0.12574571783624008,0.0995756554084664,0.09115993235176352,0.06585483734981391,0.06547954130557539,0.07549519333880728,0.05911700032803428,0.06911340058498462,0.035145859876933604
2020-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2020-05,0.15882005821383693,0.1417404476238026,0.1330120509124607,0.09689604924931322,0.08499162202752686,0.08163009226755737,0.07677604227722289,0.058733533745334854,0.05582443653135863,0.05711709369146623,0.05445857346011995
2020-06,0.15178502602581928,0.14062438704143224,0.12238740807877073,0.0988239251186526,0.08217700603578151,0.08658031992673294,0.08207237740166033,0.06053067796708275,0.05296984650278133,0.06631234694995138,0.05573667895133481
2020-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2020-08,0.15220407056214516,0.1387209369469601,0.12998845718011837,0.09307743546456397,0.09505437238074453,0.07795428470634934,0.06769722114087376,0.07725718730678252,0.060960580608490744,0.060511557923397255,0.0465738957795742
2020-09,0.1577699344444002,0.14280258383516928,0.13324011323065255,0.09755938578221184,0.0901492154818957,0.0684936906041824,0.06754301068662893,0.07258884861294278,0.061197381265491374,0.06277751943415144,0.04587831662227352
2020-10,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2020-11,0.15439255204799263,0.1547499165048303,0.1159887997284769,0.09108796267327025,0.0867883631180838,0.07594318855754341,0.07539634798262039,0.07403183710395413,0.060705128824952874,0.0627923152748815,0.0481235881833937
2020-12,0.14792189792194416,0.15183209819589438,0.10938528290569674,0.09544516698243988,0.07511631433133951,0.0755298698293674,0.07377880711892326,0.0675731848006348,0.06010493530553244,0.08278709623142841,0.060525346376799
2021-01,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2021-02,0.1634859766468955,0.14301466220352882,0.11574031050515922,0.08656299398014902,0.09136176609603364,0.09033735951335348,0.06795997804399351,0.07189036217130247,0.05498667648733825,0.06481899057294432,0.04984092377930165
2021-03,0.1621146931711674,0.15626991313658595,0.11026080981860287,0.09409740387753998,0.07939401189765463,0.09192559305482276,0.06598183145385585,0.06484588679824706,0.05110063571957159,0.06186696422555135,0.0621422568464007
2021-04,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
2021-05,0.1589479160549994,0.14837365979325623,0.12490186866867078,0.10245398044244101,0.08865411420475304,0.07600101254546192,0.0647255724146098,0.06664833203690804,0.058953112442352684,0.06414055892425038,0.04619987247229658
2021-06,0.15825561499623178,0.1490747215413253,0.11648278080828554,0.10018199428911824,0.09128236737055484,0.07873610828374147,0.06506828465407609,0.06316706965081793,0.06012984504810983,0.06393492265038228,0.05368629070735681
2021-07,0.16,0.14,0.12,0.1,0.09,0.08,0.07,0.07,0.06,0.06,0.05
