,MSFT,GOOGL,AMZN,V,EQIX,ILMN,ROK,NEE,COST,ALB,SLB,^GSPC,^NDX,^IXIC,^DJI,^RUT,^VIX,XLK,XLC,XLY,XLF,XLRE,XLV,XLI,XLU,XLP,XLB,XLE,QQQ,SPY,AGG,TLT,GLD,Mkt-RF,SMB,HML,RMW,CMA,RF,MOM
2017-11,0.0169834432142386,0.0030297464730384,0.0646623767888814,0.0255455135257614,0.0062932749833337,0.1210585195605677,-0.0342936145574029,0.0256058345578109,0.1483564599824474,-0.0466322521879742,-0.0179687239714113,0.0280826278065633,0.0187243139063835,0.0217460569064269,0.0382897795473646,0.0276932803606158,0.1080549503752117,0.0141381336850567,,0.0506575866368228,0.0345862516611672,0.0292308131847247,0.0290963019380521,0.0416603830819095,0.0268504607045527,0.055754237429179,0.009491345623251,0.0175231538931157,0.019717428704383,0.0305658833542394,-0.0014831114617174,0.0074319028723524,0.003563440057186,0.031200000000000002,-0.0038,-0.0009,0.0319,-0.001,0.0008,-0.009399999999999999
2017-12,0.0162768256190726,0.0166284626009458,-0.0061865684018398,0.0127011450355876,-0.0242631333348717,-0.0501673549892407,0.016935872492789,-0.0117050431162346,0.0091634211453561,-0.0455230248080682,0.080599401326997,0.0098316305942705,0.0048479415789326,0.0042799024370909,0.0184107060478972,-0.0055888745845222,-0.0212765759574133,0.0054580811197488,,0.0245827209311098,0.0188814280104001,-0.0043828781500523,-0.0055047794596465,0.0210855230550988,-0.0605820133989972,0.0225301652141478,0.02126962007878,0.0526941476158517,0.0060315515600124,0.0121281114711213,0.0047512044422157,0.0181256067449444,0.0210570031700103,0.0106,-0.0105,0.0005,0.0073,0.0179,0.0009,-0.015700000000000002
2018-01,0.1107083201995529,0.1222897303030614,0.2406389754181057,0.0895455661430792,0.0043467874676397,0.0647626705530568,0.0047873962062969,0.0142769734172687,0.0470125716655336,-0.1274534160659048,0.0918533128252985,0.0561787041255281,0.0865437728074818,0.0736000477573328,0.0578565942288866,0.0257047954439251,0.2264492761447785,0.0703672571202367,,0.0924102491170524,0.0655679748237652,-0.0191254235946177,0.0655539123163837,0.0536543210708033,-0.0311311163715546,0.0163475276098887,0.0399800302265407,0.0358426385967893,0.0875705229690673,0.0563591811490351,-0.011250159684978,-0.0325551467217244,0.0323493728316923,0.0558,-0.0321,-0.0132,-0.0075,-0.0105,0.0011,0.0406
2018-02,-0.0084150274636805,-0.0662312416150685,0.0424290636020012,-0.0086610962335045,-0.1335420922029052,-0.0198589767154342,-0.079485044942314,-0.0327072812889953,-0.0177508928772852,-0.1000091533517878,-0.1016140853398794,-0.0389473718793677,-0.0137511434228071,-0.0186832070259457,-0.0428381457263882,-0.0397021105489001,0.4660266201915954,-0.00409025032257,,-0.0346905033511222,-0.0292535743626936,-0.0680903986778371,-0.0449491023649827,-0.0386305310812219,-0.0387935568727233,-0.076271451970133,-0.0527402744253311,-0.1083499502335005,-0.0129277534706858,-0.0363606006290551,-0.0100875106829256,-0.0304142327111672,-0.0207599020305664,-0.0364,0.0034000000000000002,-0.011000000000000001,0.0053,-0.0236,0.0011,0.036000000000000004
2018-03,-0.0266610841566916,-0.0604935418919063,-0.0430493688856892,-0.0270050462231834,0.0664115790423105,0.0368388615221397,-0.0365044119699106,0.073480505903013,-0.0129388305489878,-0.0735610626077897,-0.0131018247444294,-0.0268844986005566,-0.0398706297801116,-0.0288133217286408,-0.0370003784642156,0.0112268855745645,0.00604528612487,-0.037338135292096,,-0.0238470059915714,-0.0415532922655078,0.0382896297718693,-0.029165588166063,-0.0268831570955332,0.0379653483824375,-0.0090686394815366,-0.0414634222161263,0.0172301408068116,-0.0407887175811756,-0.0274104898146091,0.0067116540502201,0.0285964632132049,0.0063200073242186,-0.0235,0.0361,-0.0021,-0.0040999999999999995,0.0008,0.0012,-0.012
2018-04,0.0246517766180125,-0.0178952571223316,0.0820747964716301,0.0606922890981844,0.0063378000385176,0.0190762277480667,-0.0555111221150783,0.0035512810609401,0.0463304131542867,0.0455035171173863,0.0583514175297417,0.0027187749953683,0.0037136391229837,0.0003992134354711,0.0024910070601626,0.008140255346537,-0.2023034124731818,0.0006115231340455,,0.0237928686401027,-0.0043524313042229,-0.0061134818362599,0.0105646654204445,-0.0278632611942698,0.0203841447249553,-0.0414213668306687,0.0012295232061827,0.0949416320425193,0.0050585659408179,0.00516821653078,-0.0094111689406769,-0.020881286804368,-0.0095397453605439,0.0029,0.0089,0.0053,-0.0242,0.0124,0.0014000000000000002,0.0045000000000000005
2018-05,0.0614675072043042,0.0799346954937472,0.0405394108803862,0.0319202120844588,-0.0513293373360157,0.1307849293747554,0.0716666118517712,0.0115912901883947,0.0084099237307693,-0.0359941279557486,0.0016043659106927,0.0216083418545836,0.05482648217905,0.0531893200539175,0.010457636899162,0.0594922952358552,-0.0313873189216165,0.0678275627182856,,0.0198649981862208,-0.0098361454569966,0.0223373393438459,0.0018238560023582,0.0307391564807604,-0.0110550522236994,-0.0156590116285111,0.0205227699537748,0.0299415942618892,0.0567291381755108,0.0243089433874046,0.0066189309360213,0.0200439732239166,-0.0119592094675773,0.0263,0.0471,-0.031400000000000004,-0.019799999999999998,-0.0149,0.0014000000000000002,0.0391
2018-06,-0.0023267848179776,0.0265364055928976,0.0430651923177398,0.0132345860176472,0.0832558854910772,0.025143139956689,-0.0523348941387539,0.0142614138401415,0.0541766078042631,0.0128033515818366,-0.0167645109304844,0.0048424362676078,0.0104868909133351,0.0091613258623091,-0.0059154093581986,0.0057908319747839,0.0427738065041205,-0.0026314062323673,,0.036186837518549,-0.0174692432099824,0.0446160671607431,0.0164930575900323,-0.0338897266839199,0.0281380743515267,0.0456902380329709,0.0027554617852503,0.0056954772902453,0.0114506434795969,0.0057511506933742,0.0010262842079149,0.0064578161812416,-0.0361494476312093,0.0049,0.0077,-0.0233,0.0083,0.002,0.0014000000000000002,-0.022799999999999997
2018-07,0.0757529485504173,0.0868144732459856,0.0456760075509372,0.0323898179995945,0.0218425800109287,0.1613734561227429,0.1283165826584646,0.0030535833482334,0.0465591242931644,-0.0013783578880564,0.0073099647879608,0.0360215561728991,0.0271531901324575,0.0215025017076158,0.0471245506343385,0.0168770067285888,-0.2026103292707242,0.0208722126434333,-0.0216031454675474,0.018023427021693,0.0511471865916886,0.0103943203954419,0.065540477162409,0.0738518392500717,0.0159737900206549,0.0395888088472526,0.0285862710026107,0.0155384517051662,0.0279637783034618,0.0370462958310036,-0.0002919468516362,-0.01436845280178,-0.0224189096325396,0.032,-0.019299999999999998,0.0049,0.015300000000000001,0.0031,0.0016,-0.0143
2018-08,0.0629927891744672,0.003731927416138,0.1323644812853974,0.075842972836968,-0.0019793660056451,0.0939388244642951,-0.0301163209785227,0.0219306936469825,0.0685783977724245,0.0140126669808136,-0.0645733618356747,0.0302632112767482,0.0584307237243431,0.0570596950348101,0.0216260776016925,0.0418661414457923,0.0023382488814953,0.0659900124953944,0.0148578457813197,0.0510471815049276,0.013595599241656,0.0242055655904156,0.043292514579309,0.0023399854086627,0.0128814234338614,0.0039198528216699,-0.0077012825838865,-0.0347511376405803,0.057806767119942,0.0319203177127271,0.0056805396658561,0.0131202684829265,-0.0213811171067682,0.0346,0.006500000000000001,-0.0391,-0.0029,-0.025699999999999997,0.0016,0.053099999999999994
